"Timestamp","What's your Myers-Briggs type?"
"2015/11/17 9:35:24 PM PST","I N F P"
"2015/11/17 9:46:34 PM PST","I N F J"
"2015/11/17 9:47:24 PM PST","I N T J"
"2015/11/17 9:48:47 PM PST","I N F J"
"2015/11/17 9:48:50 PM PST","E N T P"
"2015/11/17 9:51:01 PM PST","I N T P"
"2015/11/17 9:54:44 PM PST","E N F J;E S F J"
"2015/11/17 10:01:53 PM PST","I N T P"
"2015/11/17 10:02:50 PM PST","I S T J"
"2015/11/17 10:08:05 PM PST","E N T P;I N T P;“It's always something different"""
"2015/11/17 10:10:39 PM PST","I N F P"
"2015/11/17 10:13:06 PM PST","I N T J;I N T P"
"2015/11/17 10:26:08 PM PST","I N F J"
"2015/11/17 10:26:24 PM PST","E N F J;I N F J"
"2015/11/17 10:38:22 PM PST","“It's always something different"""
"2015/11/17 10:39:29 PM PST","I N T J"
"2015/11/17 10:57:30 PM PST","I N T P"
"2015/11/17 11:04:02 PM PST","E N F J"
"2015/11/17 11:17:09 PM PST","I N F P"
"2015/11/18 12:21:25 AM PST","I N T P"
"2015/11/18 12:41:16 AM PST","I N F P"
"2015/11/18 12:41:27 AM PST","I S F J"
"2015/11/18 1:09:04 AM PST","I S F J"
"2015/11/18 1:14:48 AM PST","I N T J"
"2015/11/18 1:16:46 AM PST","E N F P"
"2015/11/18 1:18:09 AM PST","“It's always something different"""
"2015/11/18 1:34:54 AM PST","I N F J"
"2015/11/18 1:35:04 AM PST","I N F J"
"2015/11/18 1:55:37 AM PST","I N T J"
"2015/11/18 2:03:39 AM PST","I N T P"
"2015/11/18 2:16:47 AM PST","E N T J"
"2015/11/18 3:03:47 AM PST","“It's always something different"""
"2015/11/18 3:20:50 AM PST","E N F P"
"2015/11/18 3:23:29 AM PST","I N F P"
"2015/11/18 3:26:49 AM PST","I N T P"
"2015/11/18 3:32:41 AM PST","I N T J"
"2015/11/18 4:07:51 AM PST","E N T P"
"2015/11/18 4:17:25 AM PST","I S F J"
"2015/11/18 4:35:22 AM PST","I N T J"
"2015/11/18 4:43:52 AM PST","I N F P;I N T P"
"2015/11/18 4:49:01 AM PST","I N F J"
"2015/11/18 4:57:30 AM PST","I N T J"
"2015/11/18 5:03:07 AM PST","I S T J"
"2015/11/18 5:09:14 AM PST","I N F P"
"2015/11/18 5:40:23 AM PST","I N F P"
"2015/11/18 5:46:45 AM PST","I S F J"
"2015/11/18 5:54:45 AM PST","I N F J"
"2015/11/18 5:55:24 AM PST","I N T P"
"2015/11/18 6:09:29 AM PST","I N T J"
"2015/11/18 6:13:01 AM PST","I N T P"
"2015/11/18 6:13:28 AM PST","I N F P"
"2015/11/18 6:22:20 AM PST","I N F P"
"2015/11/18 6:22:24 AM PST","I N F P"
"2015/11/18 6:31:15 AM PST","I N T P"
"2015/11/18 6:43:26 AM PST","E N F P"
"2015/11/18 6:44:09 AM PST","I S F J"
"2015/11/18 6:46:33 AM PST","I N T J"
"2015/11/18 6:48:30 AM PST","I N T J"
"2015/11/18 6:53:59 AM PST","I N T J"
"2015/11/18 7:10:09 AM PST","E N T P"
"2015/11/18 7:20:33 AM PST","I N T P"
"2015/11/18 7:29:15 AM PST","I N F P"
"2015/11/18 7:30:47 AM PST","I N T P"
"2015/11/18 7:41:42 AM PST","E N F P"
"2015/11/18 7:47:08 AM PST","I N F P"
